id,user_id,anonymous_id,context_group_id,event,event_text,timestamp,received_at,sent_at
track_026,user_007,anon_007,account_003,Feature Used,Dashboard View,2026-01-08 14:05:00,2026-01-08 14:05:01,2026-01-08 14:05:00
track_027,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-01-10 09:00:00,2026-01-10 09:00:01,2026-01-10 09:00:00
track_028,user_001,anon_001,account_001,Feature Used,View Analytics,2026-01-10 09:30:00,2026-01-10 09:30:01,2026-01-10 09:30:00
track_029,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-10 10:00:00,2026-01-10 10:00:01,2026-01-10 10:00:00
track_030,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-01-12 11:00:00,2026-01-12 11:00:01,2026-01-12 11:00:00
track_031,user_005,anon_005,account_002,Feature Used,Dashboard View,2026-01-12 15:00:00,2026-01-12 15:00:01,2026-01-12 15:00:00
track_032,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-01-13 10:00:00,2026-01-13 10:00:01,2026-01-13 10:00:00
track_033,user_001,anon_001,account_001,Feature Used,Create Report,2026-01-15 09:00:00,2026-01-15 09:00:01,2026-01-15 09:00:00
track_034,user_001,anon_001,account_001,Feature Used,Share Report,2026-01-15 09:15:00,2026-01-15 09:15:01,2026-01-15 09:15:00
track_035,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-15 10:00:00,2026-01-15 10:00:01,2026-01-15 10:00:00
track_036,user_003,anon_003,account_001,Feature Used,Dashboard View,2026-01-15 14:00:00,2026-01-15 14:00:01,2026-01-15 14:00:00
track_037,user_004,anon_004,account_002,Feature Used,Create Project,2026-01-16 09:00:00,2026-01-16 09:00:01,2026-01-16 09:00:00
track_038,user_004,anon_004,account_002,Feature Used,Add Team Member,2026-01-16 09:30:00,2026-01-16 09:30:01,2026-01-16 09:30:00
track_039,user_008,anon_008,account_002,Signed Up,User Registration,2026-01-17 11:00:00,2026-01-17 11:00:01,2026-01-17 11:00:00
track_040,user_008,anon_008,account_002,Feature Used,Dashboard View,2026-01-17 11:05:00,2026-01-17 11:05:01,2026-01-17 11:05:00
track_041,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-01-18 10:00:00,2026-01-18 10:00:01,2026-01-18 10:00:00
track_042,user_007,anon_007,account_003,Feature Used,Dashboard View,2026-01-18 14:00:00,2026-01-18 14:00:01,2026-01-18 14:00:00
track_043,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-01-20 09:00:00,2026-01-20 09:00:01,2026-01-20 09:00:00
track_044,user_001,anon_001,account_001,Button Clicked,Upgrade Plan,2026-01-20 09:30:00,2026-01-20 09:30:01,2026-01-20 09:30:00
track_045,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-20 10:00:00,2026-01-20 10:00:01,2026-01-20 10:00:00
track_046,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-01-22 09:00:00,2026-01-22 09:00:01,2026-01-22 09:00:00
track_047,user_008,anon_008,account_002,Feature Used,Dashboard View,2026-01-22 11:00:00,2026-01-22 11:00:01,2026-01-22 11:00:00
track_048,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-01-23 10:00:00,2026-01-23 10:00:01,2026-01-23 10:00:00
track_049,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-01-25 09:00:00,2026-01-25 09:00:01,2026-01-25 09:00:00
track_050,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-25 10:00:00,2026-01-25 10:00:01,2026-01-25 10:00:00
track_051,user_003,anon_003,account_001,Feature Used,Dashboard View,2026-01-25 14:00:00,2026-01-25 14:00:01,2026-01-25 14:00:00
track_052,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-01-27 09:00:00,2026-01-27 09:00:01,2026-01-27 09:00:00
track_053,user_005,anon_005,account_002,Feature Used,Dashboard View,2026-01-27 15:00:00,2026-01-27 15:00:01,2026-01-27 15:00:00
track_054,user_008,anon_008,account_002,Feature Used,Dashboard View,2026-01-27 11:00:00,2026-01-27 11:00:01,2026-01-27 11:00:00
track_055,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-01-28 10:00:00,2026-01-28 10:00:01,2026-01-28 10:00:00
track_056,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-01-30 09:00:00,2026-01-30 09:00:01,2026-01-30 09:00:00
track_057,user_001,anon_001,account_001,Feature Used,Generate Report,2026-01-30 09:30:00,2026-01-30 09:30:01,2026-01-30 09:30:00
track_058,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-30 10:00:00,2026-01-30 10:00:01,2026-01-30 10:00:00
track_059,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-02-01 09:00:00,2026-02-01 09:00:01,2026-02-01 09:00:00
track_060,user_008,anon_008,account_002,Feature Used,Dashboard View,2026-02-01 11:00:00,2026-02-01 11:00:01,2026-02-01 11:00:00
track_061,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-02-02 10:00:00,2026-02-02 10:00:01,2026-02-02 10:00:00
track_062,user_007,anon_007,account_003,Feature Used,Dashboard View,2026-02-02 14:00:00,2026-02-02 14:00:01,2026-02-02 14:00:00
track_063,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-02-03 09:00:00,2026-02-03 09:00:01,2026-02-03 09:00:00
track_064,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-02-03 10:00:00,2026-02-03 10:00:01,2026-02-03 10:00:00
track_065,user_003,anon_003,account_001,Feature Used,Dashboard View,2026-02-03 14:00:00,2026-02-03 14:00:01,2026-02-03 14:00:00
track_066,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-02-05 09:00:00,2026-02-05 09:00:01,2026-02-05 09:00:00
track_067,user_005,anon_005,account_002,Feature Used,Dashboard View,2026-02-05 15:00:00,2026-02-05 15:00:01,2026-02-05 15:00:00
track_068,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-02-06 10:00:00,2026-02-06 10:00:01,2026-02-06 10:00:00
track_069,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-02-07 09:00:00,2026-02-07 09:00:01,2026-02-07 09:00:00
track_070,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-02-07 10:00:00,2026-02-07 10:00:01,2026-02-07 10:00:00
track_071,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-02-08 09:00:00,2026-02-08 09:00:01,2026-02-08 09:00:00
track_072,user_008,anon_008,account_002,Feature Used,Dashboard View,2026-02-08 11:00:00,2026-02-08 11:00:01,2026-02-08 11:00:00
track_073,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-02-09 10:00:00,2026-02-09 10:00:01,2026-02-09 10:00:00
track_074,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-02-10 09:00:00,2026-02-10 09:00:01,2026-02-10 09:00:00
track_075,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-02-10 10:00:00,2026-02-10 10:00:01,2026-02-10 10:00:00
track_076,user_003,anon_003,account_001,Feature Used,Dashboard View,2026-02-10 14:00:00,2026-02-10 14:00:01,2026-02-10 14:00:00
track_077,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-02-10 09:00:00,2026-02-10 09:00:01,2026-02-10 09:00:00
track_078,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-02-10 10:00:00,2026-02-10 10:00:01,2026-02-10 10:00:00
